0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Sardinas, enlatadas al natural",,368,287,679,"0,13",545,"2,73",42,"2,2","5,50",4,0,10,10,"0,010","0,220","10,80",0,"3,30"
"Sardinas, enlatadas en aceite","3,38",307,397,382,"0,186",490,"2,92",39,"1,31","5,25",10,0,32,32,"0,080","0,227","8,94",0,"7,72"
"Surubí, crudo","1,07",72,276,20,"0,03",203,"1,90",23,"0,65","3,04",12,0,0,0,"0,208","0,157","9,68",0,"1,40"
"Trucha, cruda","1,31",31,481,67,"0,109",271,"0,70",31,"1,08","5,38",12,0,19,19,"0,123","0,105","4,45","2,4","7,90"
