0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Jugo de arándanos, natural","0,4",1,135,12,"0,114",12,"0,48",21,"0,41","0,45",10,0,6,0,"0,012","0,018",0,"11,3",0
"Jugo de fruta, exprimido sin azúcar 
agregada, envasado","0,43",4,184,10,"0,022",17,"0,10",10,"0,04","0,20",24,0,9,0,"0,039","0,021",0,"30,1",0
"Jugo de fruta, pasteurizado no recons-
tituido","0,43",4,184,10,"0,022",17,"0,10",10,"0,04","0,20",24,0,9,0,"0,039","0,021",0,"30,1",0
"Jugo de limón, exprimido","0,21",1,103,6,"0,016",8,"0,08",6,"0,05","0,09",20,0,0,0,"0,024","0,015",0,"38,7",0
"Jugo de naranja, exprimido","0,4",1,200,11,"0,044",17,"0,20",11,"0,05","0,40",30,0,10,0,"0,090","0,030",0,"50,0",0
"Jugo de papaya, natural","0,34",6,278,4,"0,053",13,"0,24",17,"0,05","1,46",7,0,36,0,0,"0,131",0,"29,8",0
"Jugo de pomelo, exprimido","0,2",1,162,9,"0,033",15,"0,20",12,"0,05","0,20",10,0,22,0,"0,040","0,020",0,"38,0",0
