"Sal dietética o modificada, PROME-
DIO",100,26150,0,0
"Sal dietética, sin sodio",100,52300,0,0
Sal Marina,100,0,0,0
"Sal modificada, 33% Cloruro de sodio","100,0",34500,0,0
"Sal modificada, 66% Cloruro de sodio","100,0",17260,0,0
