0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Leche fórmula etapa 4, fluida",,25,95,90,"0,0",67,"1,28",6,"1,0","0,43",24,14,62,62,"0,066","0,147","0,22","11,5","1,22"
"Leche fórmula inicio, en polvo",,170,479,385,"0,32",222,"6,20",37,"4,2","3,20",126,74,433,433,"0,380","0,570","1,30","90,0","9,3"
"Leche fórmula inicio, fluida",,24,67,54,"0,04",31,"0,86",5,"0,58","0,44",17,10,60,60,"0,053","0,079","0,18","12,5","1,29"
"Leche fórmula para prematuros eta-
pa 1, en polvo",4,340,475,795,1,435,"8,70",45,7,"19,50",195,0,2000,2000,"0,965","1,450","1,20","96,5",18
"Leche fórmula para prematuros eta-
pa 1, fluida",,70,82,101,"0,08",63,"1,60",8,"1,1","2,40",35,35,361,361,"0,140","0,210","0,29","17,0","3,1"
"Leche fórmula para prematuros eta-
pa 2, en polvo","4,35",340,475,795,"0,58",435,"8,70",45,"7,25","19,50",195,0,2000,2000,"0,965","1,450","1,20","96,5",18
"Leche fórmula para prematuros eta-
pa 2, fluida","0,68",53,75,125,"0,09",68,"1,37",7,"1,14","3,06",31,0,314,314,"0,152","0,228","0,19","15,2","2,83"
"Leche fórmula seguimiento, en polvo",,183,594,548,"0,32",319,"8,10",38,"4,2","4,20",139,82,424,424,"0,390","0,690","1,20","68,0",11
"Leche fórmula seguimiento, fluida",,27,87,81,"0,05",47,"1,19",6,"0,62","0,62",20,12,62,62,"0,057","0,101","0,18","10,0","1,62"
"Leche fórmula, tipo Alfaré, en pol-
vo**",,240,618,380,"0,4",255,"4,90",59,"4,9","4,90",102,60,520,520,"0,350","0,740","1,50","65,0","7,4"
"Leche fórmula, tipo Enfabebe Con-
fort, en polvo",,195,818,554,"0,424",284,"5,90",51,"6,7","5,10",139,82,460,460,"0,380","0,630","0,92","61,0","6,5"
"Leche fórmula, tipo GA1 Anamix 
Infant, en polvo",,191,501,410,"0,43",300,"8,10",58,"5,7","2,23",94,55,392,392,"0,500","0,500","1,20","49,0","8,7"
"Leche fórmula, tipo Nutrilon Pepti 
junior HE, en polvo",,144,507,390,"0,314",216,"6,00",40,"3,9","3,40",119,70,405,405,"0,390","0,770","1,40","65,0","9,8"
