0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamin D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Torta de manzana (panadería),,333,65,22,"0,047",43,"1,22",10,"0,23","1,43",29,15,5,5,"0,141","0,106","0,08","1,3",0
Torta de ricotta (panadería),"1,0",87,141,117,"0,0",151,"1,50",15,"0,5","0,75",77,39,64,63,"0,202","0,249","0,50",0,"0,30"
Torta frita,"2,2",797,79,5,"0,07",65,"2,06",11,"0,3","1,34",141,76,0,0,"0,367","0,099",0,0,"0,17"
Torta mil hojas,"1,1",87,209,164,"0,1",154,"0,70",23,"0,7","0,53",14,0,46,46,"0,039","0,241","0,19","1,6","0,15"
"Tortillas de trigo, envasadas","2,45",736,125,146,"0,104",206,"3,63",22,"0,53","4,42",149,79,0,0,"0,503","0,282",0,0,0
Tortitas Jachaleras,"0,8",22,133,28,"0,1",181,"3,75",16,"1,1","1,86",203,95,71,69,"0,513","0,265","0,40",0,"0,70"
Tostadas de gluten,,325,151,31,"0,1",150,"4,31",22,"0,7","2,30",242,131,0,0,"0,629","0,170",0,0,0
Tostadas de mesa,,482,171,12,"0,2",140,"4,43",23,"0,7","2,88",304,164,0,0,"0,790","0,213",0,0,0
Tostadas integrales,,497,171,12,"0,2",140,"4,43",23,"0,7","2,88",304,164,0,0,"0,790","0,213",0,0,0
Tostadas light,,440,171,12,"0,2",140,"4,43",23,"0,7","2,88",304,164,0,0,"0,790","0,213",0,0,0
Tostadas sin sal,,12,171,12,"0,2",140,"4,43",23,"0,7","2,88",304,164,0,0,"0,790","0,213",0,0,0
"Tostaditas saladas, saborizadas, pro-
ducto tipo copetín",,714,128,9,,105,"3,32",18,"0,56","1,94",228,123,0,0,"0,526","0,144",0,0,0
"Trigo burgol, crudo","1,51",17,410,35,"0,335",300,"2,46",164,"1,93","5,11",27,0,0,0,"0,232","0,115",0,0,0
"Trigo burgol, hervido","0,34",5,68,10,"0,075",40,"0,96",32,"0,57","1,00",18,0,0,0,"0,057","0,028",0,0,0
Trigo inflado azucarado,,142,183,14,"0,1",213,"1,50",59,"1,7","6,74",14,0,0,0,"0,419","0,121",0,0,0
"Trigo, grano entero, crudo","3,10",9,355,14,"0,553",333,"2,62",144,"4,16","6,74",43,0,0,0,"0,419","0,121",0,0,0
"Trigo, grano entero, hervido","1,7",5,199,8,"0,311",187,"1,47",81,"2,34","3,79",24,0,0,0,"0,235","0,068",0,0,0
"Turrón de maní con oblea tipo golo-
sina",,45,119,10,"0,09",82,"1,61",26,"0,5","2,38",107,54,0,0,"0,273","0,090",0,0,0
Turrón tipo navideño,,13,,40,,250,"2,10",25,"2,3",,29,0,0,0,"0,080","0,330",0,0,0
Tutuca,,9,215,5,"0,24",158,"2,03",95,"1,7","2,72",14,0,0,0,"0,289","0,151",0,0,0
