0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
"Vacuno, cortes semigrasos, (ej:  
lomo, carne picada especial, roast 
beef, paleta, bife angosto, tortuguita, 
palomita), PROMEDIO, horno/parrilla","1,12",62,321,15,"0,086",222,"2,79",20,"6,27","5,67",7,0,4,4,"0,073","0,261","2,76",0,"0,12"
"Vizcacha, cruda","3,61",41,260,69,"0,145",29,"2,57",19,"1,57","7,27",8,0,0,0,"0,100","0,150","7,16","9,9",0
