0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Alimento,Cenizas,Sodio,Potasio,Calcio,Cobre,Fosforo,Hierro,Magnesio,Zinc,Niacina,Folato EFD,Ácido fólico,"Vitamina A, 
RAE",Retinol,Tiamina,Riboflavina,Vitamina B-12,Vitamina C,Vitamina D
,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,µg,mg,mg,mg,mg,µg
Salchicha de viena light,"3,1",744,129,8,"0,065",191,"1,15",11,"1,96","2,30",4,0,0,0,"0,050","0,100","1,40","1,0","0,96"
"Salchicha parrillera, cruda","2,72",788,308,19,"0,084",149,"1,41",20,"1,68","5,47",0,0,0,0,"0,207","0,310","2,00",0,"1,50"
"Salchicha parrillera, a la parrilla",4,1079,422,26,0,204,"1,93",27,2,"6,74",0,0,0,0,"0,184","0,318","1,92",0,"2,05"
Salchichón,"3,5",1184,281,11,"0,05",139,"0,77",14,"2,0","3,90",5,0,0,0,"0,500","0,160","0,93",0,0
"Sesos, crudos","1,51",126,274,43,"0,287",362,"2,55",13,"1,02","3,55",3,0,7,0,"0,092","0,199","9,51","10,7",0
"Sesos, hervidos","1,46",108,244,9,"0,23",335,"2,30",12,"1,09","3,62",5,0,6,0,"0,069","0,217","10,10","10,5",0
"Ubre, cruda",1,52,283,70,"0,73",160,"2,60",12,2,"1,30",8,0,0,0,"0,090","0,180","1,50",0,0
"Vacuno, cortes grasos*, PROMEDIO, 
crudo","0,96",52,283,17,"0,073",174,"1,69","19,0","3,99","5,45",8,0,2,2,"0,076","0,164","1,50",0,"0,08"
"Vacuno, cortes grasos*, PROMEDIO, 
hervido","1,04",51,262,13,"0,068",174,"2,11",20,"4,89","5,12",7,0,3,3,"0,066","0,179","1,58",0,"0,12"
"Vacuno, cortes grasos*, PROMEDIO, 
horno/parrilla","1,04",51,262,13,"0,068",174,"2,11",20,"4,89","5,12",7,0,3,3,"0,066","0,179","1,58",0,"0,12"
"Vacuno, cortes magros**, PROME-
DIO, crudo","1,05",60,322,13,"0,067",202,"2,08","18,0","4,86","5,73",5,0,1,1,"0,075","0,203","2,10",0,"0,08"
"Vacuno, cortes magros**, PROME-
DIO, hervido","2,14",122,657,27,"0,14",412,"4,24",37,"9,92","9,35",10,0,2,2,"0,092","0,414","3,00",0,"0,16"
"Vacuno, cortes magros**, PROME-
DIO, horno/parrilla","1,16",63,338,14,"0,092",235,"2,98",21,"6,85","5,95",7,0,1,1,"0,077","0,282","2,96",0,"0,12"
"Vacuno, cortes semigrasos***, PRO-
MEDIO, crudo","1,01",61,306,13,"0,071",194,"2,07",17,"4,82","5,51",4,0,3,3,"0,071","0,192","2,32",0,"0,08"
"Vacuno, cortes semigrasos***, PRO-
MEDIO, hervido","1,68",102,510,22,"0,118",323,"3,45",28,"8,03","7,35",7,0,5,5,"0,071","0,320","2,71",0,"0,13"
