Pochoclo acaramelado,legumbres cereales papa pan y pastas,426,3.8,12.8,73.9
Pochoclo salado,legumbres cereales papa pan y pastas,478,9.0,28.1,47.2
Polvo de hornear,legumbres cereales papa pan y pastas,96,0.1,0.0,23.9
Polvo para preparar brownie,legumbres cereales papa pan y pastas,415,5.0,8.4,80.0
"Porotos, crudos",legumbres cereales papa pan y pastas,276,21.1,1.1,45.3
"Porotos, enlatados",legumbres cereales papa pan y pastas,80,5.9,0.5,13.0
"Porotos, hervidos",legumbres cereales papa pan y pastas,117,9.7,0.4,18.8
"Premezcla para bizcochuelo, SIN TACC",legumbres cereales papa pan y pastas,377,3.6,3.8,82.0
"Premezcla para panificados, pas tas y postres, SIN TACC",legumbres cereales papa pan y pastas,357,2.8,1.8,82.5
Puflito,legumbres cereales papa pan y pastas,371,4.7,0.5,87.0
Quinoa inflada,legumbres cereales papa pan y pastas,407,14.9,7.5,70.2
"Quinoa, semilla, cruda",legumbres cereales papa pan y pastas,330,13.8,5.1,57.2
"Quinoa, semilla, hervida",legumbres cereales papa pan y pastas,109,4.4,1.9,18.5
"Ravioles deshidratados, envasa dos, crudos",legumbres cereales papa pan y pastas,319,9.1,7.2,54.4
"Ravioles frescos, artesanal, crudos",legumbres cereales papa pan y pastas,295,13.7,8.0,42.1
"Ravioles frescos, artesanal, her vidos",legumbres cereales papa pan y pastas,211,9.8,5.7,30.1
"Ravioles frescos, envasados, cru dos",legumbres cereales papa pan y pastas,272,8.8,6.3,44.9
Rosca de pascuas (panadería / confitería),legumbres cereales papa pan y pastas,292,7.2,11.0,41.2
