Leche materna,leche y postres de leche,70,1.1,4.2,6.9
"Leche parcialmente descremada fluida, con Fitoesteroles y Ác. Grasos Omega 3, fortificada con calcio y vitaminas A, D y E",leche y postres de leche,53,3.3,2.2,4.9
"Leche parcialmente descremada fluida, deslactosada, fortificada con vitaminas A y D",leche y postres de leche,44,3.2,1.4,4.6
"Leche parcialmente descremada fluida, fortificada con hierro",leche y postres de leche,44,3.2,1.4,4.6
"Leche parcialmente descremada fluida, fortificada con vitaminas A y D",leche y postres de leche,44,3.2,1.4,4.6
"Leche parcialmente descremada fluida, fortificada con vitaminas A, D, C y ác. fólico",leche y postres de leche,44,3.2,1.4,4.6
"Leche parcialmente descremada fluida, sin fortificación",leche y postres de leche,44,3.2,1.4,4.6
"Leche parcialmente descremada, sabor chocolate o dulce de leche, fortificada con vitaminas A y D, lista para consumir",leche y postres de leche,67,2.7,1.5,10.9
"Leche seguimiento etapa 3, sabor vainilla",leche y postres de leche,68,2.1,2.6,9.0
