Chicharrón,snacks salados,458,33.9,35.1,1.7
Maní japonés,snacks salados,523,18.8,30.0,44.5
Nachos,snacks salados,499,7.4,27.4,55.7
Palitos aireados de harina de maíz o de colores,snacks salados,552,5.8,35.8,51.9
Palitos salados,snacks salados,528,7.2,32.4,52.0
Papas fritas de copetín,snacks salados,534,6.4,34.0,50.7
Snacks saborizados salados a base de maíz,snacks salados,548,7.1,30.0,62.4
"Snacks saborizados salados a base de sémola de arroz, hornea dos, tipo Palitos de arroz / aros de cebolla",snacks salados,461,8.0,22.8,56.0
