Queso untable tipo Finlandia,quesos,284,7.1,27.0,3.2
Queso untable tipo Finlandia light,quesos,195,9.0,16.0,3.8
Queso untable tipo Tholem,quesos,284,8.0,24.0,8.9
Queso untable tipo Tholem light,quesos,128,11.0,8.4,2.0
"Queso untable, PROMEDIO",quesos,208,7.9,16.7,6.7
Quesos de pasta semidura descre mados,quesos,251,24.3,15.9,2.8
Ricota,quesos,169,11.6,11.8,4.0
Ricota descremada,quesos,137,11.4,7.9,5.1
